index,Tournament,Place,$USD,Player,Team,Race,Country
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,TorcH,Teamless,Terran,United States of America
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,SengKun, WeRRa,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Chipmunk, Prime,Zerg,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,JSL, Zenith,Terran,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Artosis, Meet Your Makers,Zerg,United States of America
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,LosirA, Incredible Miracle,Zerg,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Dos, WeRRa,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Jjonga,Teamless,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Astraea, WeRRa,Terran,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,New, WeRRa,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,ESc, Jung,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Hansin, NEX,Terran,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Miso (Korean Zerg), Zenith,Zerg,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Ssoja, WeRRa,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Sopia, WeRRa,Zerg,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Genius, NEX,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Gerrard, Prime,Zerg,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Myth, Prime,Terran,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Cezanne, Old Generations,Zerg,Korea (South)
1,2010 Sony Ericsson StarCraft II Open Season 2, 1st,89000.0,NesTea, Incredible Miracle,Zerg,Korea (South)
2,2010 Sony Ericsson StarCraft II Open Season 2, 2nd,26700.0,MarineKing, Prime,Terran,Korea (South)
3,2010 Sony Ericsson StarCraft II Open Season 2, 3rd-4th,8900.0,RainBOw, StarTale,Terran,Korea (South)
3,2010 Sony Ericsson StarCraft II Open Season 2, 3rd-4th,8900.0,BoxeR,Teamless,Terran,Korea (South)
5,2010 Sony Ericsson StarCraft II Open Season 2,5th-8th,3560.0,Kyrix, ZeNEX,Zerg,Korea (South)
5,2010 Sony Ericsson StarCraft II Open Season 2,5th-8th,3560.0,Genius, ZeNEX,Protoss,Korea (South)
5,2010 Sony Ericsson StarCraft II Open Season 2,5th-8th,3560.0,NaDa, Old Generations,Terran,Korea (South)
5,2010 Sony Ericsson StarCraft II Open Season 2,5th-8th,3560.0,Zenio, Old Generations,Zerg,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 2,9th-16th,1780.0,Swagger, Team SCV Life,Protoss,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 2,9th-16th,1780.0,Ensnare, Old Generations,Terran,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 2,9th-16th,1780.0,Check (Lee Hyung Joo), Prime,Zerg,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 2,9th-16th,1780.0,InCa, Old Generations,Protoss,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 2,9th-16th,1780.0,Loner, World Elite,Terran,China
9,2010 Sony Ericsson StarCraft II Open Season 2,9th-16th,1780.0,Leenock, For Our Utopia,Zerg,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 2,9th-16th,1780.0,IdrA, Evil Geniuses,Zerg,United States of America
9,2010 Sony Ericsson StarCraft II Open Season 2,9th-16th,1780.0,TheWinD, Old Generations,Zerg,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,FruitDealer, Team SCV Life,Zerg,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,PhoeNix, WeRRa,Zerg,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,Rain (Korean Terran), Team SCV Life,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,AcE, StarTale,Protoss,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,Pippi,Teamless,Protoss,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,San, ZeNEX,Protoss,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,Tankboy, Prime,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,Sync,Teamless,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,COre, ZeNEX,Protoss,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,Terius, For Our Utopia,Zerg,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,Suhoshin, ZeNEX,Zerg,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,ParkJongHyuk, Prime,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,Gon, Old Generations,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,Mvp (player), Incredible Miracle,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,MC, Old Generations,Protoss,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 2,17th-32nd,445.0,Maka, Prime,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,ButterflyEffect, ZeNEX,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Baby (Nam Hyun Woo), WeRRa,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Apple, ZeNEX,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,TLO, Team Liquid,Terran,Germany
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Choya, For Our Utopia,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Suzy, WeRRa,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,KYumer, Incredible Miracle,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,HongUn, Prime,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Flint, ZeNEX,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Cezanne, Old Generations,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Hyperdub, Old Generations,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Garnet, ZeNEX,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Aya, MVP,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Clide, Team SCV Life,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Sirius, For Our Utopia,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,JookTo, Jung,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Happiness, Team SCV Life,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Lyn, WeMade FOX,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Bleach, ZeNEX,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Polt, Prime,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,LegalMind, ZeNEX,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,FreeDSL, WeRRa,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Cargo,Teamless,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Chief, ZeNEX,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,ChickenCombo,Teamless,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,ZanDarke,Teamless,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Sound, WeRRa,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Jjakji, WeRRa,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,TheBest, For Our Utopia,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,Overthezero, For Our Utopia,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,LoveRip,Teamless,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 2,33rd-64th,267.0,BanBans, ZeNEX,Protoss,Korea (South)
1,2010 Sony Ericsson StarCraft II Open Season 3, 1st,86700.0,MC, Old Generations,Protoss,Korea (South)
2,2010 Sony Ericsson StarCraft II Open Season 3, 2nd,26010.0,Rain (Korean Terran), Team SCV Life,Terran,Korea (South)
3,2010 Sony Ericsson StarCraft II Open Season 3, 3rd-4th,8670.0,HongUn, Prime,Protoss,Korea (South)
3,2010 Sony Ericsson StarCraft II Open Season 3, 3rd-4th,8670.0,Jinro, Team Liquid,Terran,Sweden
5,2010 Sony Ericsson StarCraft II Open Season 3,5th-8th,3468.0,NesTea, Incredible Miracle,Zerg,Korea (South)
5,2010 Sony Ericsson StarCraft II Open Season 3,5th-8th,3468.0,FruitDealer, Team SCV Life,Zerg,Korea (South)
5,2010 Sony Ericsson StarCraft II Open Season 3,5th-8th,3468.0,MarineKing, Prime,Terran,Korea (South)
5,2010 Sony Ericsson StarCraft II Open Season 3,5th-8th,3468.0,Choya, For Our Utopia,Protoss,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 3,9th-16th,1734.0,Maka, Prime,Terran,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 3,9th-16th,1734.0,Squirtle, StarTale,Protoss,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 3,9th-16th,1734.0,BitByBit, Prime,Terran,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 3,9th-16th,1734.0,TheBest, For Our Utopia,Terran,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 3,9th-16th,1734.0,Leenock, For Our Utopia,Zerg,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 3,9th-16th,1734.0,July, StarTale,Zerg,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 3,9th-16th,1734.0,Polt, Prime,Terran,Korea (South)
9,2010 Sony Ericsson StarCraft II Open Season 3,9th-16th,1734.0,Mvp (player), Incredible Miracle,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,Sen, Fnatic,Zerg,"Taiwan, Republic of China"
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,LittleBoy, Old Generations,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,Golden, For Our Utopia,Zerg,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,Genius, ZeNEX,Protoss,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,YugiOh,Teamless,Zerg,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,SC, For Our Utopia,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,Ret, Team Liquid,Zerg,Netherlands
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,JSL, ZeNEX,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,NAKSEO, StarTale,Zerg,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,GuineaPig, Prime,Protoss,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,Hyperdub, Old Generations,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,ALive, Team SCV Life,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,BoxeR, SlayerS,Terran,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,Moon, WeMade FOX,Zerg,Korea (South)
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,IdrA, Evil Geniuses,Zerg,United States of America
17,2010 Sony Ericsson StarCraft II Open Season 3,17th-32nd,433.5,Check (Lee Hyung Joo), Prime,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Jys,Teamless,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,VINES, Old Generations,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,JookTo, Jung,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Sleep, Incredible Miracle,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,TheWinD, Old Generations,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Rache,Teamless,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,DreamizEr, ZeNEX,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Libero, Prime,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,RainBOw, StarTale,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,HayprO, Team Liquid,Zerg,Sweden
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Tosyad,Teamless,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Lyn, WeMade FOX,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Cyrano,Teamless,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Anypro, Prime,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,NaYa, ZeNEX,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Kyrix, ZeNEX,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Line, ZeNEX,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,GuMiho, For Our Utopia,Random,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Junwi, Incredible Miracle,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Clide, Team SCV Life,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Max (Korean player), StarTale,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Odin, MVP,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,COre, ZeNEX,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Zenio, Old Generations,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,ON, ZeNEX,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Joon, New Star Players,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Drug, ZeNEX,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,ButterflyEffect, ZeNEX,Terran,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Choa, ZeNEX,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,BanBans, ZeNEX,Protoss,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,AnNyeong, Prime,Zerg,Korea (South)
33,2010 Sony Ericsson StarCraft II Open Season 3,33rd-64th,260.1,Destination,Teamless,Terran,Korea (South)
1,2011 Sony Ericsson Global StarCraft II League January, 1st,44835.0,Mvp (player), Incredible Miracle,Terran,Korea (South)
2,2011 Sony Ericsson Global StarCraft II League January, 2nd,17934.0,MarineKing, Prime,Terran,Korea (South)
3,2011 Sony Ericsson Global StarCraft II League January, 3rd-4th,4483.5,NesTea, Incredible Miracle,Zerg,Korea (South)
3,2011 Sony Ericsson Global StarCraft II League January, 3rd-4th,4483.5,Jinro, Team Liquid,Terran,Sweden
5,2011 Sony Ericsson Global StarCraft II League January,5th-8th,2690.1,NaDa, Old Generations,Terran,Korea (South)
5,2011 Sony Ericsson Global StarCraft II League January,5th-8th,2690.1,IdrA, Evil Geniuses,Zerg,United States of America
5,2011 Sony Ericsson Global StarCraft II League January,5th-8th,2690.1,TricKsteR, Team SCV Life,Protoss,Korea (South)
5,2011 Sony Ericsson Global StarCraft II League January,5th-8th,2690.1,Choya, For Our Utopia,Protoss,Korea (South)
9,2011 Sony Ericsson Global StarCraft II League January,9th-16th,1793.4,MC, Old Generations,Protoss,Korea (South)
9,2011 Sony Ericsson Global StarCraft II League January,9th-16th,1793.4,RainBOw, StarTale,Terran,Korea (South)
9,2011 Sony Ericsson Global StarCraft II League January,9th-16th,1793.4,Genius, ZeNEX,Protoss,Korea (South)
9,2011 Sony Ericsson Global StarCraft II League January,9th-16th,1793.4,Clide, Team SCV Life,Terran,Korea (South)
9,2011 Sony Ericsson Global StarCraft II League January,9th-16th,1793.4,TheBest, For Our Utopia,Terran,Korea (South)
9,2011 Sony Ericsson Global StarCraft II League January,9th-16th,1793.4,Hyperdub, Old Generations,Terran,Korea (South)
9,2011 Sony Ericsson Global StarCraft II League January,9th-16th,1793.4,Zenio, Old Generations,Zerg,Korea (South)
9,2011 Sony Ericsson Global StarCraft II League January,9th-16th,1793.4,BoxeR, SlayerS,Terran,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,Ensnare, Old Generations,Terran,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,Check (Lee Hyung Joo), Prime,Zerg,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,LegalMind, ZeNEX,Protoss,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,LiveForever, ZeNEX,Terran,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,InCa, Old Generations,Protoss,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,San, ZeNEX,Protoss,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,Leenock, For Our Utopia,Zerg,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,Anypro, Prime,Protoss,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,Kyrix, ZeNEX,Zerg,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,Rain (Korean Terran), Team SCV Life,Terran,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,HongUn, Prime,Protoss,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,TheWinD, Old Generations,Zerg,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,FruitDealer, Team SCV Life,Zerg,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,JookTo, Old Generations,Zerg,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,Polt, Prime,Terran,Korea (South)
17,2011 Sony Ericsson Global StarCraft II League January,17th-32nd,1345.05,Maka, Prime,Terran,Korea (South)
1,2011 2nd Generation Intel® Core™ Global StarCraft II League March, 1st,44480.0,MC, Old Generations,Protoss,Korea (South)
2,2011 2nd Generation Intel® Core™ Global StarCraft II League March, 2nd,17790.0,July, StarTale,Zerg,Korea (South)
3,2011 2nd Generation Intel® Core™ Global StarCraft II League March, 3rd-4th,4450.0,San, ZeNEX,Protoss,Korea (South)
3,2011 2nd Generation Intel® Core™ Global StarCraft II League March, 3rd-4th,4450.0,Anypro, Prime,Protoss,Korea (South)
5,2011 2nd Generation Intel® Core™ Global StarCraft II League March,5th-8th,2670.0,HongUn, Prime,Protoss,Korea (South)
5,2011 2nd Generation Intel® Core™ Global StarCraft II League March,5th-8th,2670.0,SC, For Our Utopia,Terran,Korea (South)
5,2011 2nd Generation Intel® Core™ Global StarCraft II League March,5th-8th,2670.0,NaDa, Old Generations,Terran,Korea (South)
